location_id,location_name,latitude,longitude
12024,"Chakala-Andheri East, Mumbai - IITM",19.11074,72.86084
12039,"Khindipada-Bhandup West, Mumbai - IITM",19.164394,72.928297
12040,"Mulund West, Mumbai - MPCB",19.175,72.9419
12041,"Diwator Nagar, Koppal - KSPCB",15.34763,76.181767
12044,"Kandivali East, Mumbai - MPCB",19.2058,72.8682
12046,"Perungudi, Chennai - TNPCB",12.9533,80.2357
42240,"Pan Bazaar, Guwahati - APCB",26.1875,91.744194
44513,"Kadri, Mangalore - KSPCB",12.88925,74.853
44514,"Naubad, Bidar - KSPCB",17.930306,77.482194
44515,"Panchal Nagar, Gadag - KSPCB",15.411456,75.638133
45008,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",13.4127,80.1081
60657,"Devaraj Urs Badavane, Davanagere - KSPCB",14.4758,75.9052
60658,"Hadapsar, Pune - IITM",18.501793,73.927532
60659,"Jawahar Nagar, Puducherry - PPCC",11.9309,79.8027
220265,"Rajbagh, Srinagar - JKSPCB",34.06621,74.81982
223146,"Naharlagun, Naharlagun - APSPCB",27.103358,93.679645
227384,"Jhunsi, Prayagraj - UPPCB",25.425602,81.917152
227386,"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299
227387,"Motilal Nehru NIT, Prayagraj - UPPCB",25.494,81.863
227533,"Rakhial, Ahmedabad - IITM",23.016834,72.625775
227534,"Gyaspur, Ahmedabad - IITM",22.977134,72.553024
227535,"Manoharpur, Agra - UPPCB",27.23711,78.01936
227536,"Chandkheda, Ahmedabad - IITM",23.107969,72.574648
227931,"Sector-3B Avas Vikas Colony, Agra - UPPCB",27.19412,77.96237
228297,"SVPI Airport Hansol, Ahmedabad - IITM",23.076793,72.627874
228298,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",23.04307,72.562968
228300,"SAC ISRO Satellite, Ahmedabad - IITM",23.023389,72.515201
228301,"IIPHG Lekawada, Gandhinagar - IITM",23.243639,72.68994
228303,"SAC ISRO Bopal, Ahmedabad - IITM",23.041137,72.456691
228352,"Shastripuram, Agra - UPPCB",27.19862,77.92066
228397,"IESD Banaras Hindu University, Varanasi - UPPCB",25.262326,82.995408
228403,"Bhelupur, Varanasi - UPPCB",25.301778,82.996789
228840,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",26.730136,83.433859
229195,"Maldahiya, Varanasi - UPPCB",25.32393,82.99687
229252,"NSI Kalyanpur, Kanpur - UPPCB",26.509954,80.249612
229404,"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579
229728,"Kamalnath Nagar, Bettiah - BSPCB",26.80365,84.51954
229729,"Nagla Bhau, Firozabad - UPPCB",27.168897,78.37696
229731,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051
229985,"D M Colony, Bihar Sharif - BSPCB",25.204762,85.51496
229987,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.1403345,85.3650192
233414,"Omex Eternity, Vrindavan - UPPCB",27.571409,77.655757
233415,"Sector 22, Chandigarh - CPCC",30.735567,76.775714
233416,"Nagar Nigam, Prayagraj - UPPCB",25.44919916,81.82735986
233470,Islamabad,33.725614,73.11602
